Start,End,Name,Party,Days_Served
1913-03-04,1921-03-04,Woodrow Wilson,Democratic,2922
1921-03-04,1923-08-02,Warren Harding,Republican,881
1923-08-02,1929-03-04,Calvin Coolidge,Republican,2041
1929-03-04,1933-03-04,Herbert Hoover,Republican,1461
1933-03-04,1945-04-12,Franklin Roosevelt,Democratic,4422
1945-04-12,1953-01-20,Harry Truman,Democratic,2840
1953-01-20,1961-01-20,Dwight Eisenhower,Republican,2922
1961-01-20,1963-11-22,John Kennedy,Democratic,1036
1963-11-22,1969-01-20,Lyndon Johnson,Democratic,1886
1969-01-20,1974-08-09,Richard Nixon,Republican,2027
1974-08-09,1977-01-20,Gerald Ford,Republican,895
1977-01-20,1981-01-20,Jimmy Carter,Democratic,1461
1981-01-20,1989-01-20,Ronald Reagan,Republican,2922
1989-01-20,1993-01-20,George Bush Snr.,Republican,1461
1993-01-20,2001-01-20,Bill Clinton,Democratic,2922
2001-01-20,2009-01-20,George Bush Jnr.,Republican,2922
2009-01-20,2017-01-20,Barack Obama,Democratic,2922
2017-01-20,2020-11-24,Donald Trump,Republican,1404
2021-01-20,2025-01-20,Joe Biden,Democratic,1461
2025-01-20,2025-08-19,Donald Trump,Republican,211
